episode_index,episode_length,is_successful
0,25,False
1,25,False
2,38,False
3,52,False
4,35,False
5,36,False
6,77,False
7,27,False
8,23,False
9,16,False
10,11,False
11,14,False
12,11,False
13,10,False
14,15,False
15,39,False
16,22,False
17,13,False
18,23,False
19,31,False
20,47,False
21,21,False
22,22,False
23,14,False
24,14,False
25,10,False
26,27,False
27,13,False
28,10,False
29,10,False
30,9,False
31,18,False
32,28,False
33,13,False
34,14,False
35,15,False
36,29,False
37,13,False
38,14,False
39,12,False
40,10,False
41,14,False
42,99,False
43,15,False
44,11,False
45,22,False
46,48,False
47,40,False
48,39,False
49,14,False
50,15,False
51,38,False
52,60,False
53,9,False
54,57,False
55,36,False
56,61,False
57,19,False
58,66,False
59,31,False
60,40,False
61,32,False
62,28,False
63,33,False
64,16,False
65,68,False
66,22,False
67,33,False
68,31,False
69,27,False
70,31,False
71,60,False
72,24,False
73,85,False
74,31,False
75,66,False
76,75,False
77,31,False
78,42,False
79,30,False
80,49,False
81,32,False
82,27,False
83,78,False
84,77,False
85,29,False
86,17,False
87,29,False
88,50,False
89,74,False
90,81,False
91,59,False
92,65,False
93,30,False
94,29,False
95,46,False
96,13,False
97,20,False
98,71,False
99,69,False
100,66,False
101,82,False
102,73,False
103,69,False
104,82,False
105,60,False
106,96,False
107,100,False
108,87,False
109,10,False
110,81,False
111,71,False
112,167,False
113,63,False
114,158,False
115,200,True
116,176,False
117,105,False
118,120,False
119,40,False
120,112,False
121,56,False
122,145,False
123,196,False
124,113,False
125,190,False
126,123,False
127,129,False
128,172,False
129,115,False
130,114,False
131,140,False
132,88,False
133,79,False
134,100,False
135,42,False
136,128,False
137,114,False
138,107,False
139,132,False
140,138,False
141,139,False
142,138,False
143,112,False
144,126,False
145,128,False
146,145,False
147,144,False
148,153,False
149,159,False
150,149,False
151,132,False
152,137,False
153,142,False
154,127,False
155,136,False
156,144,False
157,131,False
158,141,False
159,146,False
160,128,False
161,123,False
162,123,False
163,113,False
164,131,False
165,121,False
166,138,False
167,113,False
168,139,False
169,122,False
170,113,False
171,122,False
172,99,False
173,137,False
174,121,False
175,137,False
176,142,False
177,136,False
178,147,False
179,145,False
180,151,False
181,123,False
182,129,False
183,134,False
184,130,False
185,129,False
186,124,False
187,131,False
188,127,False
189,145,False
190,137,False
191,107,False
192,120,False
193,109,False
194,112,False
195,118,False
196,127,False
197,133,False
198,118,False
199,134,False
