episode_index,episode_length,is_successful
0,17,False
1,12,False
2,22,False
3,25,False
4,26,False
5,45,False
6,12,False
7,18,False
8,19,False
9,27,False
10,53,False
11,41,False
12,68,False
13,68,False
14,45,False
15,101,False
16,22,False
17,44,False
18,45,False
19,58,False
20,29,False
21,43,False
22,47,False
23,49,False
24,59,False
25,17,False
26,14,False
27,13,False
28,26,False
29,26,False
30,55,False
31,47,False
32,11,False
33,14,False
34,36,False
35,62,False
36,79,False
37,42,False
38,32,False
39,15,False
40,60,False
41,33,False
42,11,False
43,14,False
44,12,False
45,34,False
46,13,False
47,26,False
48,51,False
49,109,False
50,21,False
51,27,False
52,78,False
53,38,False
54,83,False
55,78,False
56,71,False
57,72,False
58,20,False
59,13,False
60,56,False
61,59,False
62,69,False
63,115,False
64,94,False
65,12,False
66,10,False
67,21,False
68,38,False
69,43,False
70,57,False
71,36,False
72,44,False
73,36,False
74,67,False
75,65,False
76,74,False
77,70,False
78,70,False
79,79,False
80,77,False
81,73,False
82,58,False
83,63,False
84,80,False
85,153,False
86,155,False
87,106,False
88,62,False
89,118,False
90,113,False
91,127,False
92,132,False
93,85,False
94,81,False
95,200,True
96,149,False
97,85,False
98,140,False
99,91,False
100,169,False
101,54,False
102,177,False
103,118,False
104,127,False
105,152,False
106,121,False
107,51,False
108,105,False
109,148,False
110,151,False
111,131,False
112,90,False
113,163,False
114,137,False
115,129,False
116,74,False
117,182,False
118,135,False
119,185,False
120,163,False
121,117,False
122,139,False
123,113,False
124,159,False
125,177,False
126,125,False
127,170,False
128,87,False
129,147,False
130,76,False
131,136,False
132,116,False
133,73,False
134,175,False
135,178,False
136,126,False
137,157,False
138,103,False
139,135,False
140,109,False
141,158,False
142,131,False
143,117,False
144,154,False
145,131,False
146,164,False
147,110,False
148,170,False
149,138,False
150,200,True
151,164,False
152,140,False
153,188,False
154,167,False
155,140,False
156,172,False
157,38,False
158,45,False
159,25,False
160,148,False
161,166,False
162,148,False
163,149,False
164,113,False
165,164,False
166,127,False
167,121,False
168,190,False
169,166,False
170,133,False
171,33,False
172,118,False
173,200,True
174,200,True
175,200,True
176,200,True
177,200,True
178,200,True
179,200,True
180,178,False
181,181,False
182,200,True
183,153,False
184,157,False
185,130,False
186,143,False
187,132,False
188,130,False
189,136,False
190,154,False
191,130,False
192,123,False
193,127,False
194,24,False
195,129,False
196,129,False
197,135,False
198,134,False
199,128,False
