episode_index,episode_length,is_successful
0,18,False
1,9,False
2,12,False
3,23,False
4,13,False
5,20,False
6,10,False
7,15,False
8,18,False
9,19,False
10,16,False
11,18,False
12,26,False
13,16,False
14,12,False
15,15,False
16,16,False
17,12,False
18,12,False
19,11,False
20,11,False
21,10,False
22,12,False
23,14,False
24,13,False
25,15,False
26,25,False
27,25,False
28,38,False
29,12,False
30,51,False
31,17,False
32,28,False
33,26,False
34,31,False
35,54,False
36,65,False
37,35,False
38,22,False
39,33,False
40,22,False
41,75,False
42,34,False
43,65,False
44,62,False
45,27,False
46,27,False
47,58,False
48,22,False
49,20,False
50,40,False
51,25,False
52,57,False
53,23,False
54,36,False
55,23,False
56,25,False
57,30,False
58,23,False
59,24,False
60,57,False
61,96,False
62,64,False
63,76,False
64,77,False
65,91,False
66,74,False
67,70,False
68,35,False
69,58,False
70,70,False
71,84,False
72,73,False
73,75,False
74,63,False
75,73,False
76,65,False
77,111,False
78,91,False
79,87,False
80,77,False
81,75,False
82,60,False
83,76,False
84,91,False
85,62,False
86,80,False
87,79,False
88,45,False
89,104,False
90,117,False
91,89,False
92,90,False
93,110,False
94,115,False
95,85,False
96,83,False
97,109,False
98,75,False
99,79,False
100,56,False
101,100,False
102,94,False
103,110,False
104,62,False
105,96,False
106,96,False
107,66,False
108,71,False
109,117,False
110,108,False
111,82,False
112,93,False
113,95,False
114,112,False
115,117,False
116,107,False
117,71,False
118,88,False
119,103,False
120,108,False
121,73,False
122,105,False
123,93,False
124,117,False
125,109,False
126,117,False
127,125,False
128,129,False
129,131,False
130,100,False
131,103,False
132,112,False
133,126,False
134,85,False
135,116,False
136,75,False
137,104,False
138,121,False
139,129,False
140,76,False
141,129,False
142,124,False
143,126,False
144,105,False
145,135,False
146,128,False
147,142,False
148,113,False
149,133,False
150,68,False
151,85,False
152,116,False
153,106,False
154,141,False
155,82,False
156,160,False
157,129,False
158,147,False
159,107,False
160,119,False
161,146,False
162,108,False
163,85,False
164,118,False
165,116,False
166,113,False
167,73,False
168,76,False
169,70,False
170,114,False
171,106,False
172,111,False
173,99,False
174,126,False
175,123,False
176,79,False
177,130,False
178,130,False
179,78,False
180,70,False
181,132,False
182,119,False
183,118,False
184,130,False
185,107,False
186,121,False
187,120,False
188,90,False
189,144,False
190,113,False
191,144,False
192,121,False
193,135,False
194,131,False
195,127,False
196,73,False
197,104,False
198,104,False
199,102,False
