episode_index,episode_length,is_successful
0,32,False
1,12,False
2,22,False
3,18,False
4,20,False
5,15,False
6,36,False
7,16,False
8,40,False
9,14,False
10,21,False
11,10,False
12,16,False
13,18,False
14,10,False
15,27,False
16,15,False
17,29,False
18,35,False
19,39,False
20,38,False
21,20,False
22,25,False
23,15,False
24,17,False
25,16,False
26,20,False
27,14,False
28,16,False
29,32,False
30,125,False
31,96,False
32,21,False
33,51,False
34,30,False
35,15,False
36,54,False
37,21,False
38,15,False
39,26,False
40,23,False
41,15,False
42,46,False
43,20,False
44,25,False
45,27,False
46,12,False
47,48,False
48,61,False
49,23,False
50,49,False
51,23,False
52,72,False
53,77,False
54,59,False
55,75,False
56,81,False
57,78,False
58,79,False
59,19,False
60,67,False
61,51,False
62,71,False
63,68,False
64,63,False
65,71,False
66,71,False
67,71,False
68,82,False
69,73,False
70,82,False
71,68,False
72,16,False
73,78,False
74,43,False
75,65,False
76,63,False
77,77,False
78,77,False
79,76,False
80,71,False
81,71,False
82,75,False
83,65,False
84,62,False
85,82,False
86,65,False
87,58,False
88,78,False
89,65,False
90,66,False
91,21,False
92,95,False
93,60,False
94,85,False
95,72,False
96,85,False
97,83,False
98,115,False
99,99,False
100,85,False
101,60,False
102,93,False
103,100,False
104,95,False
105,89,False
106,61,False
107,78,False
108,93,False
109,81,False
110,102,False
111,97,False
112,123,False
113,113,False
114,92,False
115,18,False
116,108,False
117,134,False
118,87,False
119,78,False
120,99,False
121,87,False
122,95,False
123,84,False
124,99,False
125,100,False
126,92,False
127,93,False
128,88,False
129,84,False
130,95,False
131,82,False
132,63,False
133,94,False
134,83,False
135,84,False
136,86,False
137,81,False
138,101,False
139,99,False
140,89,False
141,96,False
142,90,False
143,104,False
144,95,False
145,90,False
146,84,False
147,113,False
148,88,False
149,110,False
150,84,False
151,86,False
152,88,False
153,119,False
154,66,False
155,127,False
156,94,False
157,98,False
158,104,False
159,89,False
160,80,False
161,106,False
162,94,False
163,110,False
164,80,False
165,117,False
166,90,False
167,101,False
168,85,False
169,93,False
170,92,False
171,105,False
172,87,False
173,99,False
174,92,False
175,105,False
176,101,False
177,98,False
178,81,False
179,88,False
180,83,False
181,78,False
182,102,False
183,83,False
184,94,False
185,91,False
186,91,False
187,98,False
188,104,False
189,100,False
190,80,False
191,93,False
192,113,False
193,105,False
194,139,False
195,94,False
196,98,False
197,84,False
198,92,False
199,88,False
